class-row,class-topic,Week,Day,Date,Topic,Reading,Assign-OUT,Assign-DUE
,,1,,,,,,
,,,W,17-Jan,Welcome - Who are We? What is coding?,,,
,,,F,19-Jan,How computers work ,"Ch 1.1, 1.6, 1.7 ",,
,inClass,2,M,22-Jan,"Python intro, Pair programming ","Ch 1.2, 2.1, 2.2",,
,,,W,24-Jan,"Variables, merge conflics",,,ic01
,,,F,26-Jan,User Input,Ch 1.3,q01,
,,3,M,29-Jan,Numbers,"Ch 2.3, 2.4",,
,,,W,31-Jan,Mathematical operators,"Ch 2.5, 2.6, 2.7",,
,,,F,2-Feb,Strings and string methods,"Ch 3.1, 3.2, 7",hw01,q01
,,4,M,5-Feb,Lists ,Ch 8.1 - 8.11,,
,inClass,,W,7-Feb,Code for Good Spotlight,,,ic02
,,,F,9-Feb,"Conditional (""if"") statements",Ch 4,q02,hw01
,,5,M,12-Feb,The random module,"Ch 2.8, 2.10",,
,,,W,14-Feb,Writing functions ,Ch 6,,
,,,F,16-Feb,More functions,Ch 6,hw02,q02
,,6,T,20-Feb,More functions [main()],,,
,inClass,,W,21-Feb,Documentation / Debugging,,,ic03
,,,F,23-Feb,While loops,Ch 5,q03,hw02
,,7,M,26-Feb,For loops ,Ch 5,,
,,,W,28-Feb,Dictionaries,Ch 8.12 - 8.15,,
noClass,italic,,F,1-Mar,CLASS CANCELED - Review material,,hw03,q03
,,8,M,4-Mar,Recursion pt. 1,Ch 14,,
,,,W,6-Mar,Recursion pt. 2,Ch 14,,
,inClass,,F,8-Mar,Recursion Lab,,q04,"hw03, ic04"
noClass,italic,9,M,11-Mar,NO CLASS - Spring Break ,,,
noClass,italic,,W,13-Mar,NO CLASS - Spring Break ,,,
noClass,italic,,F,15-Mar,NO CLASS - Spring Break ,,,
,,10,M,18-Mar,Classes pt. 1: Attributes and Methods,Ch 9,,
,,,W,20-Mar,Classes pt. 2: OOP,Ch 9,,
,,,F,22-Mar,Classes pt 3: Inheritance,Ch 9,hw04,q04
,inClass,11,M,25-Mar,Code for Good Spotlight,,,ic05
,,,W,27-Mar,Graphics,Ch 17.4,,
,,,F,29-Mar,Animation,Ch 17.4,proj,hw04
noClass,italic,12,M,1-Apr,NO CLASS - Ab Sick ,,,
,,,W,3-Apr,Developing Applications ,,,
,inClass,,F,5-Apr,Paper prototyping & Proposal check-in,,,proj-proposal
,,13,M,8-Apr,Interaction,Ch 17.4,,
,,,W,10-Apr,Working with Files ,,,
noClass,italic,,F,12-Apr,NO CLASS - Personal Day,,,proj-prototypeI
noClass,italic,14,M,15-Apr,NO CLASS - Marathon Monday,,,
,inClass,,W,17-Apr,Advanced Topics - Files / NLP,,,
,inClass,,F,19-Apr,Advanced Topics - NLP,,,proj-prototypeII
,inClass,15,M,22-Apr,Advanced Topics - NLP,,,ic06
,,,W,24-Apr,Advanced Topics - Visual Analytics,,,
,proj,,F,26-Apr,Final Project Work Session ,,,
presy,proj ,16,M,29-Apr,Final Project Demo Day,,,"proj, reflection"
presy,proj,,W,1-May,Final Project Demo Day,,,
,,,,,,,,
